Series Name,Series Code,Country Name,Country Code,1995 [YR1995],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010]
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,Africa,AFR,2.71674365142019,2.49276106980456,2.49843808162266,2.22118128146807,2.1343634685018,2.00850279282963,1.91219237600993,1.78254080800504,1.87360940584113,2.06191767311171,1.88127071547602
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,Botswana,BWA,3.4762156918794,3.4871192704006,3.67095953880898,3.72228275518581,3.12570493242816,2.76858482364336,2.42484695713432,2.47524241034127,2.47232108933113,2.86135510967518,2.36031199571786
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,"Congo, Rep.",COG,..,1.38524630181126,1.66444961755903,1.90609311940152,1.63083312973369,1.30669324446382,1.09014000890516,1.26386444592486,1.19423123635021,..,1.11258573388299
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,Zimbabwe,ZWE,18.9652332829903,4.22987775818339,10.674228644453,3.40076803855477,4.41275685969803,2.28320882231406,2.96992970258407,2.60773433907859,..,..,1.32242488236462
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,South Africa,ZAF,2.12351755172573,1.57096957618535,1.60662837742062,1.63712332136512,1.50557524943951,1.52710043142242,1.41714881901436,1.34407308853106,1.32260656565165,1.39453037856185,1.27393728343442
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,Nigeria,NGA,0.707879763588384,1.18934726936168,1.51510834478769,0.868158157067854,0.728138566545529,0.600597587229248,0.533951151666815,0.584454309945049,0.781988960380575,0.892325837939917,0.870101216973443
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,Ghana,GHA,0.761123366487351,0.60939252496014,0.599647988211698,0.69833141115849,0.634639208861516,0.598391129828256,0.371023457173745,0.509619465101317,0.397632348468283,0.434443282973898,0.388767022131486
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Data from database: Africa Development Indicators,,,,,,,,,,,,,,
Last Updated: 02/22/2013,,,,,,,,,,,,,,
